LocationID,Watershed,EventGUID,ParkCode,ProjectCode,Date,BTime,TTime,Obsv1,Obsv2,Obsv3,USGS_ID,Survey_MONTH,SEASON,BRDYEAR,Weather,Wind,AirTemp,WaterTemp,WaterVis,SvyLength,SvyWidth,AvgD,MaxD,HabType,PercentSubVeg,PercentEmergVeg,PercentOpenWater,DominantSub,DominantEmerg,OtherVeg,tblEvents_Comments,GageHeight,DateEntered,Validation,EventID,SurveyMethodID,WaterSalinity,SalinityMethodID,WaterFlowID,EggCountGUID,SpeciesID,MassID,WaterDepth,EggDepth,Distance,Stranded,AttachType,EggMassStageID,UTMNY_EggObs,UTMEX_EggObs,HorizontalError_m,Lat_EggObs,Long_EggObs,AS_UTMSOURCE,AS_UTMZONE,GPS_ID,tblEggCount_CRLF_Comments,OldMass,NumberofEggMasses
AC01,Audubon Canyon,{B39EB73F-4A9C-4AF9-B0E4-7877E8C1F0CE},OTHER,CRLF,2/1/2023,11:46,6,TE,,,,,,2023,Partial Cloud,1,,,,30,5,0.6,0.6,MeadowWetland,90,10,0,90,Typha,,Very little open water that can be seen from the walkway.,,,TRUE,,2,,,2,{94CF76CE-D4DE-4703-80A2-50DDB0849E45},RADR,,,,,FALSE,,,,,,,,,,0,"records batch created in 2023 to bring old data (up to 2019, which only recorded presence of CRLF egg masses) inline with data collected in S123 ( presence and absence noted for every survey)",FALSE,0
AC01,Audubon Canyon,{C0013217-566F-4828-9072-BF4C16564D8F},OTHER,CRLF,12/9/2021,11:50,5,TE,GH,,,,,2022,Clear,2,,,0.4,20,10,,,MeadowWetland,60,40,0,60,,,No egg masses.,,,TRUE,,2,,,1,{6823BD5B-E98B-4B56-AE59-100544FE036E},RADR,,,,,FALSE,,,,,,,,,,0,,FALSE,0
AC01,Audubon Canyon,{FC458C2F-320F-401A-9AFE-B7CF6C8BA777},OTHER,CRLF,12/7/2022,13:48,16,GH,TE,,,,,2023,Clear,2,,,,50,10,0.5,0.6,Pond,38,60,2,38,Typha,,Walked along boardwalk. Didn’t enter water. Hear pacific Chorus Frog,,,TRUE,,2,,,,{52DD4330-A085-4316-82BF-AA4934FB8E8E},RADR,,,,,FALSE,,,,,,,,,,0,,FALSE,0
AC02,Garden Club Canyon,{76BE6A4C-FD5F-41D2-A711-D8F0D7C82D98},OTHER,CRLF,12/9/2021,11:15,20,TE,GH,,,,,2022,Clear,2,,,0.4,80,50,,0.12,Pond,10,85,5,10,Typha,,"This was a survey of the pond at garden club canyon, at Audubon canyon ranch. No egg masses.",0.4,,TRUE,,2,,,1,{74C7F577-A4F7-4AE8-9EB5-FB16FA11E998},RADR,,,,,FALSE,,,,,,,,,,0,,FALSE,0
AC02,Garden Club Canyon,{C7418C9A-0903-44B5-B404-8E2306FE327F},OTHER,CRLF,2/1/2023,11:11,22,TE,,,,,,2023,Partial Cloud,1,,,,,,,0.88,Pond,0,30,70,0,Typha,Algae,"Surveyed about half of pond, too deep in middle. No crlf. Lots of newt
 egg masses and adults.",2.9,,TRUE,,2,,,1,{605D2EA6-A6BD-40B5-9075-33239993DE69},RADR,,,,,FALSE,,,,,,,,,,0,"records batch created in 2023 to bring old data (up to 2019, which only recorded presence of CRLF egg masses) inline with data collected in S123 ( presence and absence noted for every survey)",FALSE,0
AC02,Garden Club Canyon,{C8EDD1B2-C761-46FE-9E4C-EF9B63AE6817},OTHER,CRLF,12/7/2022,13:18,22,GH,TE,,,,,2023,Clear,2,,,,30,10,,0,Pond,10,85,5,10,Typha,,Water not up to bottom of gauge. Surveyed open water in middle,0,,TRUE,,2,,,1,{F8A1AC8B-BF22-4459-9A50-A31DC94E9DBC},RADR,,,,,FALSE,,,,,,,,,,0,,FALSE,0
EC01,Easkoot Creek,{309DD157-A462-4FF5-823E-6A1AE2695844},GOGA,CRLF,12/28/2000,13:23,10,MO,,,,12,WINTER,2001,Clear,,17,15,,20,1.5,0.1,0.3,,20,90,,,,"cape ivy, english ivy, blackberry, alder, willow",Habitat(N1-A5)     Drainage:     WaterFlow:     WaterTurbidity:     MidDayShade:     Watershed:     Substrate:,,,FALSE,GOGA-CRLF-12/28/2000-1:23:00 PM-EC01,,,,,{6EEC1438-B967-4A7F-AD87-5378AB496A81},RADR,,,,,FALSE,,,,,,,,,,0,"records batch created in 2023 to bring old data (up to 2019, which only recorded presence of CRLF egg masses) inline with data collected in S123 ( presence and absence noted for every survey)",FALSE,0
EC01,Easkoot Creek,{5CEBAD7C-5F76-4660-87B7-747B92B3C172},GOGA,CRLF,1/21/2021,10:32,30,RT,KSm,,,,,2021,Partial Cloud,2,,,0.1,,,0.1,,Pond,45,50,5,Lemna,Typha,water parsley,Stinson beach near lifeguard tower,,,TRUE,,2,,,,{A555CBB5-DCCE-4003-9EBE-D826ECFB1096},RADR,,,,,FALSE,,,4194291.981,531746.6914,6,37.8955894,-122.6389213,,,0,,FALSE,0
EC01,Easkoot Creek,{82DB4F7E-DCCC-4FB4-9AF5-E8C6DD041A17},GOGA,CRLF,1/29/2001,15:20,5,MO,,,,1,WINTER,2001,Clear,,17,15,,20,1.5,0.1,0.3,Ditch,20,90,,,,,"Habitat(N1-A5)     
Drainage:     
WaterFlow:     < 7s/10ft
WaterTurbidity:     3
MidDayShade:     50
Watershed: nat

Substrate: silt",,,FALSE,GOGA-CRLF-1/29/2001-3:20:00 PM-EC01,,,,,{A58C9A07-8566-43CD-9434-5C36938000C2},RADR,,,,,FALSE,,,,,,,,,,0,"records batch created in 2023 to bring old data (up to 2019, which only recorded presence of CRLF egg masses) inline with data collected in S123 ( presence and absence noted for every survey)",FALSE,0
EC01,Easkoot Creek,{CEAAF9EF-32B3-4DC6-92B0-F3A8D8D284DC},GOGA,CRLF,2/11/2021,11:55,29,RT,,,,,,2021,Overcast,1,12,,0.1,,,0.1,0.25,Pond,,,,,,,both ponded areas near the lifeguard tower and behind parkside cafe. no crlf nor crlf egg masses observed,,,TRUE,,2,,,2,{A132ED65-AB21-4C0B-BF73-B525D57DD15F},RADR,,,,,FALSE,,,4194430.196,531701.3514,6,37.8968367,-122.6394309,,,0,,FALSE,0
