LocationID,BRDYEAR,mean_max_depth,max_depth,mean_salinity,max_salinity,AirTemp,WaterTemp,num_egg_masses,mean_percent_sub,mean_percent_emerg,mean_percent_water,Watershed,CoastalSite,yearly_rain,interpolated_canopy,water_flow,water_regime
AC01,2023,0.6,0.6,0,0,NA,NA,0,64,35,1,Audubon Canyon,FALSE,52.63,NA,lentic,seasonal
AC02,2023,0.44,0.88,0,0,NA,NA,0,5,57.5,37.5,Garden Club Canyon,FALSE,52.63,NA,lentic,seasonal
EC01,2021,0.25,0.25,0,0,12,NA,0,45,50,5,Easkoot Creek,FALSE,13.48,NA,lentic,perennial
KC01,2013,0.7388461538461538,0.85,0,0,17.45,10.666666666666666,26,10,60,30,Kanoff Creek,FALSE,26.13,0,lentic,seasonal
KC01,2015,0.7355555555555555,0.8,0,0,20.71875,12.933333333333334,43,1.0666666666666667,32.55555555555556,27.933333333333334,Kanoff Creek,FALSE,27.67,0,lentic,seasonal
KC01,2016,0.6582758620689655,0.72,0,0,14.251724137931035,5.904761904761905,29,NA,NA,NA,Kanoff Creek,FALSE,29.78,0,lentic,seasonal
KC01,2017,0.7308333333333333,0.81,0,0,14.427777777777777,11.277777777777777,34,4.638888888888889,83.16666666666667,12.194444444444445,Kanoff Creek,FALSE,56.51,0,lentic,seasonal
KC01,2018,0.7061538461538461,0.85,0,0,18.705555555555556,13.286516853932584,88,7.087912087912088,70,22.912087912087912,Kanoff Creek,FALSE,24.45,0,lentic,seasonal
KC01,2019,0.7127777777777777,0.73,0,0,16.591666666666665,9.284285714285714,39,1.3333333333333333,73.66666666666667,25,Kanoff Creek,FALSE,48.7,0,lentic,seasonal
KC01,2020,0.4660714285714286,0.55,0,0,16.405128205128204,11.1,43,1.0263157894736843,90,8.973684210526315,Kanoff Creek,FALSE,22.94,0,lentic,seasonal
KC01,2021,0.4325,0.55,0,0,14.465714285714286,11.382352941176471,32,0,30.333333333333332,69.66666666666667,Kanoff Creek,FALSE,13.48,0,lentic,seasonal
KC01,2022,0.4593103448275862,0.55,0,0,13.148275862068965,10.310344827586206,28,0,26.666666666666668,73.33333333333333,Kanoff Creek,FALSE,35.68,0,lentic,seasonal
KC01,2023,0.4761111111111111,0.5,0,0,14.716666666666667,11.448571428571428,32,0,29.02777777777778,70.97222222222223,Kanoff Creek,FALSE,52.63,0,lentic,seasonal
KC02,2013,0.54,0.65,0,0,17.1,14,1,0,30,70,Kanoff Creek,FALSE,26.13,20,both,seasonal
KC02,2015,0.646,0.75,0,0,19.36,17.475,0,0,9.285714285714286,90.71428571428571,Kanoff Creek,FALSE,27.67,26,both,seasonal
KC02,2016,0.658,0.75,0,0,16.1,11.666666666666666,0,NA,NA,NA,Kanoff Creek,FALSE,29.78,29,both,seasonal
KC02,2017,0.6575,0.77,0,0,15.7425,12.383333333333333,2,3.272727272727273,20.454545454545453,76.27272727272727,Kanoff Creek,FALSE,56.51,32,both,seasonal
KC02,2018,0.5642857142857143,0.81,0,0,16.87142857142857,14.333333333333334,0,3.857142857142857,12.714285714285714,83.42857142857143,Kanoff Creek,FALSE,24.45,35,both,seasonal
KC02,2019,0.41,0.6,0,0,16.433333333333334,8.8,1,1.6666666666666667,38.333333333333336,60,Kanoff Creek,FALSE,48.7,38,both,seasonal
KC02,2020,0.3983333333333333,0.5,0,0,18.7,15.183333333333334,0,0,20,80,Kanoff Creek,FALSE,22.94,41,both,seasonal
KC02,2021,0.28250000000000003,0.4,0,0,16.95,15,0,0,12.5,87.5,Kanoff Creek,FALSE,13.48,44,both,seasonal
KC02,2022,0.39,0.54,0,0,16.31111111111111,12.555555555555555,0,0,4,96,Kanoff Creek,FALSE,35.68,47,both,seasonal
KC02,2023,0.3511111111111111,0.5,0,0,14.988888888888889,11.433333333333334,0,0,3.888888888888889,96.11111111111111,Kanoff Creek,FALSE,52.63,50,both,seasonal
KC03,2015,0.162,0.22,0,0,17,18.733333333333334,0,0,49,51,Kanoff Creek,FALSE,27.67,0,lentic,seasonal
