Sex,Season,Hormone,A,B,C,D,total
M,PR,GnRH,0,0,0,0,0
F,PR,GnRH,0,0,0,1,1
M,PR,GnRH,0,0,0,141,141
F,PR,GnRH,8,42,0,0,50
F,PR,GnRH,0,0,0,45,45
F,PR,GnRH,0,0,0,0,0
M,PR,GnRH,0,0,68,3,71
M,PR,GnRH,3,78,0,7,88
F,PR,GnRH,0,0,24,0,24
F,PR,GnRH,0,171,0,0,171
F,PR,GnRH,0,0,44,0,44
M,PR,GnRH,0,57,0,0,57
F,PSe,GnRH,0,0,43,0,43
M,PSe,GnRH,0,0,88,0,88
F,PSe,GnRH,0,43,36,0,79
M,PSe,GnRH,0,86,7,0,93
M,PSe,GnRH,0,65,113,0,178
M,PSe,GnRH,0,70,5,0,75
F,PSe,GnRH,0,75,31,134,240
F,PSe,GnRH,0,21,93,16,130
F,PSe,GnRH,0,0,75,6,81
M,PSe,GnRH,0,0,36,0,36
M,PSe,GnRH,21,58,0,0,79
F,PSe,GnRH,84,43,20,103,250
F,PR,GnIH,21,676,1,0,698
M,PR,GnIH,0,63,655,0,718
F,PR,GnIH,0,200,395,1,596
M,PR,GnIH,0,78,554,25,657
F,PR,GnIH,8,37,585,40,670
M,PR,GnIH,0,117,562,0,679
M,PSe,GnIH,0,0,145,129,274
F,PSe,GnIH,41,646,249,4,940
F,PSe,GnIH,0,55,442,46,543
M,PSe,GnIH,18,366,243,0,627
F,PSe,GnIH,0,69,790,143,1002
M,PSe,GnIH,0,45,306,85,436
F,PSe,GnIH,0,0,420,173,593
M,PSe,GnIH,0,18,465,64,547
M,PSe,GnIH,0,22,87,174,283
F,PSe,GnIH,0,0,478,516,994
