"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1939-07",,,"0","2,6","0",",6","0",",6",,,,,"0","2,6","0","2,6","0","2,6","0","2,6","0","2,6","43","2,6,21,+",,,,,"0.00",",,6,31,+","69","2,6,20,","225","6","225","2,6","0.00",",,,6",,,"57.3","2,6","64.6","2,,,6","49.9","2,,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1939-08",,,"0",",6","0",",6","0",",6",,,,,"0",",6","0",",6","0",",6","1",",6","0",",6","45",",6,29,+",,,,,"0.00",",,6,31,+","70",",6,24,","418","6","193",",6","0.00",",,,6",,,"58.8",",6","65.4",",,,6","52.2",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1939-09",,,"47",",6","2",",6","1",",6",,,,,"0",",6","0",",6","0",",6","10",",6","1",",6","43",",6,15,",,,,,"0.44",",,6,14,","90",",6,20,","560","6","142",",6","0.48",",,,6",,,"61.8",",6","70.8",",,,6","52.9",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1939-10",,,"9",",6","2",",6","2",",6",,,,,"0",",6","0",",6","0",",6","9",",6","0",",6","39",",6,26,",,,,,"0.30",",,6,02,","86",",6,30,","786","6","226",",6","0.55",",,,6",,,"58.0",",6","68.3",",,,6","47.6",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1939-11",,,"0",",6","1",",6","1",",6",,,,,"0",",6","0",",6","0",",6","7",",6","0",",6","37",",6,24,+",,,,,"0.46",",,6,25,","76",",6,23,","1135","6","348",",6","0.46",",,,6",,,"53.4",",6","64.5",",,,6","42.3",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1939-12",,,"0",",6","6",",6","2",",6",,,,,"0",",6","0",",6","0",",6","2",",6","0",",6","38",",6,22,",,,,,"0.42",",,6,23,","71",",6,04,","1491","6","356",",6","0.90",",,,6",,,"53.5",",6","61.4",",,,6","45.6",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-01","0","6","0",",6",,,,,,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","36",",6,21,",,,,,,,"69",",6,29,","1887","6","396",",6",,,,,"52.2",",6","57.4",",,,6","47.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-02","0","6","0",",6","14",",6","11",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","38",",6,11,",,,,,"2.24",",,6,27,","64",",6,24,+","2230","6","343",",6","8.33",",,,6",,,"53.1",",6","58.9",",,,6","47.4",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-03","0","6","0",",6","10",",6","8",",6",,,"0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","38",",6,12,",,,"0.0",",,6,31,+","3.85",",,6,30,","69",",6,17,","2571","6","341",",6","6.33",",,,6","0.0",",,,6","54.0",",6","61.4",",,,6","46.6",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-04","1","6","1",",6","3",",6","2",",6",,,"0",",6","0",",6","0",",6","0",",6","4",",6","0",",6","39",",6,21,",,,"0.0",",,6,30,+","0.32",",,6,25,","80",",6,11,","2857","6","286",",6","0.48",",,,6","0.0",",,,6","55.5",",6","63.6",",,,6","47.4",",,,6"
