LocationID,BRDYEAR,Watershed,first_breeding,rain_to_date,MaxD,NumberofEggMasses,yearly_rain,AirTemp,WaterTemp,water_flow,water_regime,MaxD_yearly,MaxD_proportion,complete_case
LS01,2010,Laguna Salada,87,11.38,0.52,1,42.65,18,13,lentic,perennial,0.7314285714285714,0.7109375,TRUE
LS06,2010,Laguna Salada,119,22.67,1.1,1,42.65,16.8,12,lentic,seasonal,1.1,1,TRUE
LS07,2010,Laguna Salada,97,12.03,1.14,1,42.65,17.4,13,lentic,seasonal,1.37125,0.8313582497721056,TRUE
LS08,2010,Laguna Salada,97,12.03,1.01,1,42.65,18.5,11,lentic,perennial,1.144,0.8828671328671329,TRUE
MC01,2010,Milagra Creek,119,22.67,1.23,1,42.65,15.8,14,lentic,seasonal,1.220735294117647,1.0075894470545717,TRUE
LS05,2011,Laguna Salada,97,24.19,1.37,1,50.91,17.9,8,lentic,perennial,1.37,1,TRUE
LS07,2011,Laguna Salada,76,13.06,1,1,50.91,21.4,10,lentic,seasonal,1.4515,0.6889424733034791,TRUE
LS08,2011,Laguna Salada,76,13.06,1.07,1,50.91,16.8,11,lentic,perennial,1.07,1,TRUE
MC01,2011,Milagra Creek,97,24.19,1.11,1,50.91,8.5,8,lentic,seasonal,1.0492,1.0579489134578726,TRUE
LS06,2013,Laguna Salada,136,22.05,1.14,1,26.13,20.1,15,lentic,seasonal,1.0266666666666666,1.1103896103896105,TRUE
RC07,2013,Redwood Creek,93,21.01,0.72,1,26.13,11,5.5,lentic,perennial,0.72,1,TRUE
RL02,2013,Rodeo Lagoon,71,14.04,1.2,1,26.13,15.5,12.5,lentic,perennial,1.2,1,TRUE
LS07,2014,Laguna Salada,164,17.66,0.08,1,22.93,15.2,19,lentic,seasonal,0.08,1,TRUE
RC13,2014,Redwood Creek,122,2.25,0.96,1,22.93,18.2,15.5,lentic,perennial,0.96,1,TRUE
RC07,2015,Redwood Creek,68,9.98,1.19,1,27.67,19.5,16.4,lentic,perennial,1.1032786885245902,1.0786032689450222,TRUE
KC01,2016,Kanoff Creek,90,8.78,0.64,1,29.78,14.2,5,lentic,seasonal,0.6581481481481481,0.972425436128306,TRUE
LS07,2016,Laguna Salada,103,12.08,1.42,1,29.78,15,11.5,lentic,seasonal,1.4575,0.974271012006861,TRUE
