LocationID,BRDYEAR,Watershed,first_breeding,rain_to_date,MaxD,NumberofEggMasses,yearly_rain,AirTemp,WaterTemp,water_flow,water_regime,MaxD_yearly,MaxD_proportion
LS01,2010,Laguna Salada,87,11.38,0.52,1,42.65,18,13,lentic,perennial,0.7314285714285714,0.7109375
LS04,2010,Laguna Salada,104,12.91,NA,1,42.65,18,14,lentic,perennial,NA,NA
LS05,2010,Laguna Salada,97,12.030000000000001,1.17,1,42.65,17.5,NA,lentic,perennial,1.2025,0.972972972972973
LS06,2010,Laguna Salada,119,22.67,1.1,1,42.65,16.8,12,lentic,seasonal,1.1,1
LS07,2010,Laguna Salada,97,12.030000000000001,1.14,1,42.65,17.4,13,lentic,seasonal,1.37125,0.8313582497721056
LS08,2010,Laguna Salada,97,12.030000000000001,1.01,1,42.65,18.5,11,lentic,perennial,1.144,0.8828671328671329
LS11,2010,Laguna Salada,132,25.23,NA,1,42.65,18,12,lentic,perennial,NA,NA
MC01,2010,Milagra Creek,119,22.67,1.23,1,42.65,15.8,14,lentic,seasonal,1.220735294117647,1.0075894470545717
RL02,2010,Rodeo Lagoon,125,23.07,NA,1,42.65,15.7,13,lentic,perennial,2.5,NA
LS05,2011,Laguna Salada,97,24.19,1.37,1,50.91,17.9,8,lentic,perennial,1.37,1
LS06,2011,Laguna Salada,97,24.19,NA,1,50.91,15.6,9,lentic,seasonal,1.465,NA
LS07,2011,Laguna Salada,76,13.06,1,1,50.91,21.4,10,lentic,seasonal,1.4515,0.6889424733034791
LS08,2011,Laguna Salada,76,13.06,1.07,1,50.91,16.8,11,lentic,perennial,1.07,1
LS09,2011,Laguna Salada,166,36.48,NA,1,50.91,NA,NA,lotic,perennial,NA,NA
MC01,2011,Milagra Creek,97,24.19,1.11,1,50.91,8.5,8,lentic,seasonal,1.0492000000000001,1.0579489134578726
RL02,2011,Rodeo Lagoon,131,25.4,2.1,1,50.91,NA,NA,lentic,perennial,2.1,1
LS05,2012,Laguna Salada,137,12.85,1.22,1,28.01,15.1,NA,lentic,perennial,1.22,1
LS06,2012,Laguna Salada,137,12.85,0.84,1,28.01,14,NA,lentic,seasonal,0.84,1
LS08,2012,Laguna Salada,104,4.97,NA,1,28.01,19.8,NA,lentic,perennial,1.25,NA
KC01,2013,Kanoff Creek,70,13.940000000000001,0.65,1,26.13,18,NA,lentic,seasonal,0.7388461538461538,0.8797501301405518
KC02,2013,Kanoff Creek,148,22.31,0.47,1,26.13,17.2,NA,both,seasonal,0.47,1
